gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
2.585,1.7406,2.378764,22.92471545,-3.727030485,3,23,3.5,50.9515,1.845,1.895,7.8872,0,10,0.5,23.9705,0.005,0.285,1.9014
2.3412,1.4509,2.183375,22.93127158,-3.72978029,3,23,3.5,50.9515,1.845,1.895,7.8872,0,10,0.5,23.9705,0.005,0.285,1.9014
6.3822,4.1863,5.343946,10.45846332,-5.774713915,3,10,2.5,20.491,1.695,2.325,10.25995,0,3,0.5,6.49,0.145,0.715,4.27415
5.3309,3.3128,4.814482,10.48403599,-5.752715215,3,10,2.5,20.491,1.695,2.325,10.25995,0,3,0.5,6.49,0.145,0.715,4.27415
6.7934,4.5932,5.734162,8.269276708,-5.59986193,3,10,2.5,20.491,1.695,2.325,10.25995,0,3,0.5,6.49,0.145,0.715,4.27415
3.003,1.9389,2.695902,20.47417485,-4.13084521,3,14,3,28.9775,1.82,1.9,8.23625,0,1,0,1.9965,0.02,0.29,2.25045
2.6669,1.5894,2.417112,20.47997115,-4.132785995,3,14,3,28.9775,1.82,1.9,8.23625,0,1,0,1.9965,0.02,0.29,2.25045
1.7876,0.988,1.536166,29.32940005,-3.27304972,3,32,4,74.3655,1.95,1.83,7.2971,0,19,1,47.3845,0.11,0.22,1.3113
1.9402,1.2363,1.836631,29.34867703,-3.27662587,3,32,4,74.3655,1.95,1.83,7.2971,0,19,1,47.3845,0.11,0.22,1.3113
1.9291,1.113,1.708233,13.61694092,-4.69605107,3,19,3,42.8665,1.885,2.11,9.0433,0,14,1,32.0555,0.035,0.07,0.7453
2.195,1.174,1.760422,13.63565746,-4.701231855,3,19,3,42.8665,1.885,2.11,9.0433,0,14,1,32.0555,0.035,0.07,0.7453
7.3163,5.1799,6.691109,5.885194579,-6.999782665,3,6,2,12.406,1.735,2.54,11.41605,0,1,0,1.595,0.185,0.5,3.11805
6.7255,4.4635,5.798093,5.869582535,-7.016193865,3,6,2,12.406,1.735,2.54,11.41605,0,1,0,1.595,0.185,0.5,3.11805
2.6759,1.2366,1.757535,5.281517013,-5.25422492,3,6,2,12.406,1.735,2.54,11.41605,0,1,0,1.595,0.185,0.5,3.11805
2.0994,0.9939,1.942892,11.55660087,-5.360385738,3,10,2.5,20.8925,1.86,2.115,9.39235,0,5,0.5,10.0815,0.06,0.075,1.09435
2.2699,1.2219,2.072198,11.56125607,-5.36777565,3,10,2.5,20.8925,1.86,2.115,9.39235,0,5,0.5,10.0815,0.06,0.075,1.09435
1.3849,0.8054,1.248185,17.86896166,-4.18074304,3,28,3.5,66.2805,1.99,2.045,8.4532,0,23,1.5,55.4695,0.07,0.005,0.1552
1.2836,0.7241,1.131701,17.91508087,-4.180337235,3,28,3.5,66.2805,1.99,2.045,8.4532,0,23,1.5,55.4695,0.07,0.005,0.1552
11.18,7.6324,9.592849,6.887197821,-6.322694723,2,6,2,12.5065,1.525,2.505,11.4704,0,2,0,3.4935,0.005,0.935,2.1477
10.2887,6.8836,9.440696,6.8731883,-6.313025865,2,6,2,12.5065,1.525,2.505,11.4704,0,2,0,3.4935,0.005,0.935,2.1477
5.0669,2.8458,4.048783,6.473427783,-4.61904492,2,6,2,12.5065,1.525,2.505,11.4704,0,2,0,3.4935,0.005,0.935,2.1477
11.7016,8.4038,9.975577,5.941620036,-5.84209977,2,6,2,12.5065,1.525,2.505,11.4704,0,2,0,3.4935,0.005,0.935,2.1477
5.9173,3.6377,4.864371,14.20093722,-4.53523093,2,10,2.5,20.5395,1.665,2.075,9.84135,0,6,0.5,11.5265,0.135,0.505,0.51865
4.9239,3.0974,4.337889,14.18252502,-4.54087793,2,10,2.5,20.5395,1.665,2.075,9.84135,0,6,0.5,11.5265,0.135,0.505,0.51865
